position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7
2111,2063,2172,2129,2065,2003,2002,2003
2179,2147,2216,2162,2119,2084,2099,2111
2170,2142,2217,2156,2117,2084,2031,1016
2097,2072,2138,2074,2059,2029,1984,1006
2101,2074,2135,2070,2034,2013,1937,476
2155,2132,2193,2133,2111,2047,1657,327
1992,1902,1929,1868,1880,1811,275,263
2037,1941,1978,1928,1916,1788,180,254
2003,1900,1942,1898,1834,541,142,248
1974,1877,1909,1865,1816,233,116,241
1980,1890,1930,1879,1807,161,106,242
2015,1921,1964,1908,690,115,105,250
2047,1944,1999,1957,312,99,102,247
1952,1819,1865,1885,171,94,120,286
1884,1787,1778,658,114,88,107,254
1869,1780,1799,293,89,88,114,255
1928,1822,1844,316,98,83,105,260
1855,1699,585,130,77,79,112,251
1943,1834,276,103,69,83,108,257
1898,1896,173,94,63,71,95,252
1961,668,101,82,62,80,108,247
3796,3680,3839,3779,3725,3654,3678,3610
3510,3453,3560,3508,3444,3402,3453,3431
3888,3818,3912,3822,3752,3680,3597,1521
3752,3677,3762,3677,3614,3549,3496,1510
3854,3777,3875,3771,3716,3647,3534,684
3745,3664,3752,3660,3598,3532,3095,484
3517,3329,3352,3276,3259,3130,377,393
3428,3236,3260,3193,3140,2861,249,383
3408,3211,3252,3181,3049,778,205,383
3531,3325,3342,3261,3174,319,169,378
3395,3208,3250,3164,3031,226,166,383
3391,3200,3243,3148,931,161,152,377
3352,3174,3212,3170,424,139,151,372
3152,2909,2932,2916,230,144,192,439
3081,2872,2815,879,157,124,163,390
3075,2856,2881,387,128,121,153,375
3033,2771,1909,214,112,118,155,378
2976,2662,765,159,97,111,150,371
3007,2797,343,134,97,109,161,375
3182,3146,219,115,87,107,155,377
3077,856,136,99,85,108,162,373
4095,4095,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,4095,4095
4095,4095,4095,4095,4095,4095,4095,1930
4095,4095,4095,4095,4095,4095,4095,2063
4095,4095,4095,4095,4095,4095,4095,874
4095,4095,4095,4095,4095,4095,4095,643
4095,4095,4095,4095,4095,4095,471,517
4095,4095,4095,4095,4095,3514,332,516
4095,4095,4095,4095,4095,982,258,491
4095,4095,4095,4095,4095,420,220,507
4095,4095,4095,4095,3994,273,209,485
4095,4095,4095,4095,1238,215,208,519
4095,4095,4095,4095,580,190,218,522
4095,3917,3909,3802,301,185,260,601
4095,3908,3818,1126,196,155,206,501
4095,3922,3980,493,157,151,202,504
4095,3798,2534,263,137,149,212,495
4095,3776,1001,208,136,147,206,490
4095,4095,458,166,130,155,216,521
4095,4095,260,137,119,138,195,486
4095,998,164,122,115,154,206,498